GRID         161        0.3     0.18314 0.      
GRID         162        0.3     0.1861920.      
GRID         163        0.3     0.1892440.      
GRID         164        0.3     0.1922970.      
GRID         165        0.3     0.1953490.      
GRID         166        0.3     0.1984010.      
GRID         167        0.3     0.2014540.      
GRID         168        0.3     0.2045060.      
GRID         169        0.3     0.2075580.      
GRID         170        0.3     0.21061 0.      
GRID         171        0.3     0.2136630.      
GRID         172        0.3     0.2167150.      
GRID         173        0.3     0.2197670.      
GRID         174        0.3     0.22282 0.      
GRID         175        0.3     0.2258720.      
GRID         176        0.3     0.2289240.      
GRID         177        0.3     0.2319770.      
GRID         178        0.3     0.2350290.      
GRID         179        0.3     0.2380810.      
GRID         180        0.3     0.2411340.      
GRID         181        0.3     0.2441860.      
GRID         182        0.3     0.2472380.      
GRID         183        0.3     0.2502910.      
GRID         184        0.3     0.2533430.      
GRID         185        0.3     0.2563950.      
GRID         186        0.3     0.2594480.      
GRID         187        0.3     0.2625  0.      
GRID         188        0.3     0.2653850.      
GRID         189        0.3     0.2682690.      
GRID         190        0.3     0.2711540.      
GRID         191        0.3     0.2740380.      
GRID         192        0.3     0.2769230.      
GRID         193        0.3     0.2798080.      
GRID         194        0.3     0.2826920.      
GRID         195        0.3     0.2855770.      
GRID         196        0.3     0.2884610.      
GRID         197        0.3     0.2913460.      
GRID         198        0.3     0.2942310.      
GRID         199        0.3     0.2971150.      
GRID         200        0.      0.3     0.      
GRID         201        0.2969480.3     0.      
GRID         202        0.2938950.3     0.      
GRID         203        0.2908430.3     0.      
GRID         204        0.2877910.3     0.      
GRID         205        0.2847380.3     0.      
GRID         206        0.2816860.3     0.      
GRID         207        0.2786340.3     0.      
GRID         208        0.2755810.3     0.      
GRID         209        0.2725290.3     0.      
GRID         210        0.2694770.3     0.      
GRID         211        0.2664240.3     0.      
GRID         212        0.2633720.3     0.      
GRID         213        0.26032 0.3     0.      
GRID         214        0.2572670.3     0.      
GRID         215        0.2542150.3     0.      
GRID         216        0.2511630.3     0.      
GRID         217        0.24811 0.3     0.      
GRID         218        0.2450580.3     0.      
GRID         219        0.2420060.3     0.      
GRID         220        0.2389530.3     0.      
GRID         221        0.2359010.3     0.      
GRID         222        0.2328490.3     0.      
GRID         223        0.2297960.3     0.      
GRID         224        0.2267440.3     0.      
GRID         225        0.2236920.3     0.      
GRID         226        0.2206390.3     0.      
GRID         227        0.2175870.3     0.      
GRID         228        0.2145350.3     0.      
GRID         229        0.2114830.3     0.      
GRID         230        0.20843 0.3     0.      
GRID         231        0.2053780.3     0.      
GRID         232        0.2023260.3     0.      
GRID         233        0.1992730.3     0.      
GRID         234        0.1962210.3     0.      
GRID         235        0.1931690.3     0.      
GRID         236        0.1901160.3     0.      
GRID         237        0.1870640.3     0.      
GRID         238        0.1840120.3     0.      
GRID         239        0.1809590.3     0.      
GRID         240        0.1779070.3     0.      
GRID         241        0.1748550.3     0.      
GRID         242        0.1718020.3     0.      
GRID         243        0.16875 0.3     0.      
GRID         244        0.1656980.3     0.      
GRID         245        0.1626450.3     0.      
GRID         246        0.1595930.3     0.      
GRID         247        0.1565410.3     0.      
GRID         248        0.1534880.3     0.      
GRID         249        0.1504360.3     0.      
GRID         250        0.1473840.3     0.      
GRID         251        0.1443310.3     0.      
GRID         252        0.1412790.3     0.      
GRID         253        0.1382270.3     0.      
GRID         254        0.1351750.3     0.      
GRID         255        0.1321220.3     0.      
GRID         256        0.12907 0.3     0.      
